stn,date,temperature,wind_speed,precipitation
725030,2020-07-31,78,5.9,0.57
744860,2020-07-31,75.7,6.8,0.9
725030,2020-07-30,87.1,6.2,0
744860,2020-07-30,81.2,9,0
725030,2020-07-29,84.5,7,0
744860,2020-07-29,82.4,7.6,0
725030,2020-07-28,89.9,10.3,0
744860,2020-07-28,85.6,11.2,0
725030,2020-07-27,90,8.9,0
744860,2020-07-27,85.2,10.5,0
725030,2020-07-26,86.9,8.5,0
744860,2020-07-26,82.4,10.9,0
725030,2020-07-25,82,4.4,0.26
744860,2020-07-25,77.8,5.3,0.24
725030,2020-07-24,79.5,6.4,0.05
744860,2020-07-24,76.7,6.1,0.16
725030,2020-07-23,81.1,8.2,0.79
744860,2020-07-23,77.2,10,0.53
725030,2020-07-22,84.5,6.8,0.05
744860,2020-07-22,81,6.3,0.16
725030,2020-07-21,87.1,7.2,0
744860,2020-07-21,84.7,7.8,0
725030,2020-07-20,88.7,7.8,0
744860,2020-07-20,84.8,9.9,0
725030,2020-07-19,87.1,8.5,0
744860,2020-07-19,80,9.2,0
725030,2020-07-18,82.5,5.3,0.02
744860,2020-07-18,79.7,4.9,0.06
725030,2020-07-17,75.9,8.2,0.02
744860,2020-07-17,73.2,9.6,0.04
725030,2020-07-16,75.1,8.8,0
744860,2020-07-16,72.5,9.2,0
725030,2020-07-15,77.3,7.8,0
744860,2020-07-15,75.1,7.3,0
725030,2020-07-14,81.1,9,0
744860,2020-07-14,80.3,10,0
725030,2020-07-13,83,7.4,0.05
744860,2020-07-13,80.5,8.7,0
725030,2020-07-12,82.4,9,0.04
744860,2020-07-12,80.2,12.9,0.04
725030,2020-07-11,79.6,12,2.47
744860,2020-07-11,75.7,14.5,2.33
725030,2020-07-10,76.9,11.8,0
744860,2020-07-10,76.1,11.4,0
725030,2020-07-09,83.1,7.1,0.01
744860,2020-07-09,78.2,7.9,0.02
725030,2020-07-08,81,7.6,0
744860,2020-07-08,77.9,9.5,0
725030,2020-07-07,75.3,9.1,0.05
744860,2020-07-07,74.6,9.4,0.03
725030,2020-07-06,83.9,5.9,0
744860,2020-07-06,79.7,5.8,0
725030,2020-07-05,81.2,7.5,0
744860,2020-07-05,77,8.7,0
725030,2020-07-04,75.9,7.4,0.36
744860,2020-07-04,73.7,8,0.42
